policy_id,occupation,age,coverage_amount,premium,policy_type,issue_date,risk_rating,medical_exam_required
PP-1359,Truck Driver,32,50000,85,Universal Life,2020-04-29,High,No
PP-1360,Taxi Driver,44,500000,237,Universal Life,2018-06-15,Low,Yes
PP-1361,Veterinarian,32,750000,1275,Term Life,2022-01-22,High,Yes
PP-1362,Architect,55,100000,208,Term Life,2024-12-06,High,No
PP-1363,Veterinarian,22,5000000,1916,Universal Life,2021-11-11,Low,Yes
PP-1364,Student,38,750000,1350,Whole Life,2019-11-23,High,Yes
PP-1365,Journalist,54,250000,516,Universal Life,2020-12-06,High,No
PP-1366,Photographer,78,500000,308,Whole Life,2018-12-19,Low,Yes
PP-1367,Musician,35,15000000,6562,Whole Life,2020-10-15,Low,Yes
PP-1368,Mechanical Engineer,51,10000000,20166,Term Life,2020-03-09,High,Yes
PP-1369,Physicist,75,50000,60,Whole Life,2021-07-18,Medium,No
PP-1370,Surgeon,48,15000000,29500,Universal Life,2024-07-02,High,Yes
PP-1371,Police Officer,36,10000000,4416,Universal Life,2024-12-14,Low,Yes
PP-1372,Researcher,46,500000,241,Term Life,2018-01-29,Low,Yes
PP-1373,Police Officer,22,250000,383,Term Life,2024-03-28,High,No
PP-1374,Bus Driver,72,250000,591,Term Life,2018-07-16,High,No
PP-1375,Researcher,74,2000000,2400,Whole Life,2018-06-25,Medium,Yes
PP-1376,Musician,48,250000,491,Universal Life,2018-01-16,High,No
PP-1377,Air Traffic Controller,30,10000000,8333,Whole Life,2023-10-24,Medium,Yes
PP-1378,Firefighter,58,25000,53,Universal Life,2024-10-07,High,No
PP-1379,Surgeon,78,15000000,9250,Term Life,2024-02-09,Low,Yes
PP-1380,Skilled Laborer,18,500000,733,Whole Life,2021-09-13,High,Yes
PP-1381,Police Officer,45,750000,718,Term Life,2023-11-12,Medium,Yes
PP-1382,Accountant,43,15000000,14124,Whole Life,2019-06-23,Medium,Yes
PP-1383,Healthcare Worker,36,1000000,1766,Term Life,2018-10-14,High,Yes
PP-1384,Surgeon,48,1000000,983,Term Life,2024-09-13,Medium,Yes
PP-1385,Software Engineer,69,25000,14,Universal Life,2020-06-15,Low,No
PP-1386,Software Engineer,33,250000,214,Term Life,2022-11-10,Medium,No
PP-1387,Taxi Driver,20,750000,281,Universal Life,2024-09-24,Low,Yes
PP-1388,Healthcare Worker,68,2000000,2299,Term Life,2019-08-29,Medium,Yes
PP-1389,Police Officer,45,750000,718,Universal Life,2022-07-06,Medium,Yes
PP-1390,Writer,27,15000000,6062,Term Life,2020-06-05,Low,Yes
PP-1391,Actor,61,25000,54,Whole Life,2024-03-19,High,No
PP-1392,Nurse,47,500000,243,Universal Life,2021-07-14,Low,Yes
PP-1393,Scientist,58,250000,266,Term Life,2023-05-20,Medium,No
PP-1394,Artist,34,100000,86,Universal Life,2019-12-11,Medium,No
PP-1395,Dentist,64,50000,111,Universal Life,2022-01-16,High,No
PP-1396,Miner,36,100000,44,Term Life,2019-10-10,Low,No
PP-1397,Air Traffic Controller,62,2000000,2200,Universal Life,2023-04-25,Medium,Yes
PP-1398,Accountant,71,2000000,1175,Term Life,2024-05-04,Low,Yes
PP-1399,Firefighter,68,250000,574,Term Life,2022-04-16,High,No
PP-1400,Bus Driver,32,750000,637,Whole Life,2021-12-27,Medium,Yes
PP-1401,Software Engineer,69,500000,289,Whole Life,2020-02-21,Low,Yes
PP-1402,Commercial Pilot,38,2000000,3600,Universal Life,2024-10-30,High,Yes
PP-1403,Police Officer,19,2000000,1483,Whole Life,2024-09-12,Medium,Yes
PP-1404,Chef,67,50000,57,Universal Life,2023-10-27,Medium,No
PP-1405,Plumber,61,1000000,545,Whole Life,2024-01-18,Low,Yes
PP-1406,High-Risk Driver,71,250000,146,Term Life,2018-02-09,Low,No
PP-1407,Writer,55,15000000,31250,Term Life,2023-08-25,High,Yes
PP-1408,Physicist,65,15000000,8437,Universal Life,2023-03-12,Low,Yes
PP-1409,Firefighter,29,750000,618,Term Life,2021-04-20,Medium,Yes
PP-1410,Pilot,39,2000000,908,Universal Life,2018-03-13,Low,Yes
PP-1411,Photographer,70,100000,58,Universal Life,2020-02-10,Low,No
PP-1412,Police Officer,64,100000,223,Term Life,2021-03-28,High,No
PP-1413,Attorney,53,2000000,1025,Term Life,2020-02-07,Low,Yes
PP-1414,Surgeon,21,10000000,3791,Universal Life,2021-09-03,Low,Yes
PP-1415,Veterinarian,60,100000,54,Whole Life,2019-11-14,Low,No
PP-1416,Police Officer,43,100000,94,Universal Life,2022-08-03,Medium,No
PP-1417,Scientist,63,750000,1662,Universal Life,2021-02-07,High,Yes
PP-1418,Civil Engineer,32,750000,637,Whole Life,2018-03-31,Medium,Yes
PP-1419,Software Engineer,69,15000000,8687,Term Life,2018-09-28,Low,Yes
PP-1420,Truck Driver,60,750000,812,Whole Life,2021-04-24,Medium,Yes
PP-1421,Writer,20,1000000,750,Term Life,2023-05-12,Medium,Yes
PP-1422,Dentist,40,15000000,13750,Term Life,2024-10-19,Medium,Yes
PP-1423,Pilot,63,15000000,8312,Term Life,2019-09-27,Low,Yes
PP-1424,Writer,48,5000000,9833,Whole Life,2019-07-19,High,Yes
PP-1425,Accountant,73,1000000,1191,Whole Life,2021-03-13,Medium,Yes
PP-1426,Retired,64,5000000,11166,Whole Life,2024-11-10,High,Yes
PP-1427,Nurse,31,250000,420,Term Life,2021-09-16,High,No
PP-1428,Taxi Driver,32,500000,425,Whole Life,2024-10-31,Medium,Yes
PP-1429,Veterinarian,32,10000000,4250,Term Life,2024-04-12,Low,Yes
PP-1430,Bus Driver,18,250000,183,Term Life,2021-03-07,Medium,No
PP-1431,High-Risk Driver,70,25000,14,Whole Life,2024-09-05,Low,No
PP-1432,Civil Engineer,74,15000000,9000,Universal Life,2019-01-23,Low,Yes
PP-1433,Actor,53,25000,25,Universal Life,2022-12-07,Medium,No
PP-1434,Taxi Driver,50,100000,50,Universal Life,2021-12-29,Low,No
PP-1435,Scientist,41,10000000,18500,Term Life,2020-11-11,High,Yes
PP-1436,Retired,79,2000000,1241,Universal Life,2021-10-13,Low,Yes
PP-1437,Electrician,79,5000000,3104,Whole Life,2018-05-01,Low,Yes
PP-1438,Physicist,49,250000,247,Term Life,2021-04-25,Medium,No
PP-1439,Professional Athlete,44,50000,95,Whole Life,2024-03-31,High,No
PP-1440,Military Officer,34,100000,43,Term Life,2022-03-21,Low,No
PP-1441,Pilot,45,750000,718,Term Life,2022-12-07,Medium,Yes
PP-1442,Military Officer,52,15000000,15250,Whole Life,2021-08-02,Medium,Yes
PP-1443,Retired,28,10000000,4083,Term Life,2020-08-27,Low,Yes
PP-1444,Professional Athlete,26,2000000,1600,Universal Life,2020-11-22,Medium,Yes
PP-1445,Miner,36,750000,1325,Universal Life,2024-12-22,High,Yes
PP-1446,Architect,52,1000000,2033,Universal Life,2023-07-15,High,Yes
PP-1447,Physicist,53,10000000,10250,Term Life,2023-09-14,Medium,Yes
PP-1448,Software Engineer,49,2000000,1983,Universal Life,2023-12-01,Medium,Yes
PP-1449,Scientist,48,500000,983,Term Life,2018-12-15,High,Yes
PP-1450,Electrician,45,10000000,9583,Term Life,2018-01-20,Medium,Yes
PP-1451,Researcher,41,100000,185,Term Life,2019-12-03,High,No
PP-1452,Police Officer,32,100000,42,Term Life,2019-02-25,Low,No
PP-1453,Therapist,74,50000,30,Term Life,2021-12-01,Low,No
PP-1454,Teacher,18,15000000,5500,Term Life,2022-03-17,Low,Yes
PP-1455,Actor,37,5000000,2229,Universal Life,2023-10-17,Low,Yes
PP-1456,Architect,37,5000000,8916,Whole Life,2024-04-06,High,Yes
PP-1457,Skilled Laborer,62,2000000,4400,Universal Life,2024-07-30,High,Yes
PP-1458,Commercial Pilot,80,250000,312,Universal Life,2019-12-05,Medium,No
PP-1459,Chemical Plant Operator,75,15000000,36250,Term Life,2020-07-10,High,Yes
PP-1460,Nurse,45,750000,718,Universal Life,2020-01-09,Medium,Yes
PP-1461,Taxi Driver,41,100000,92,Whole Life,2023-06-23,Medium,No
PP-1462,Professional Athlete,21,15000000,5687,Whole Life,2020-11-01,Low,Yes
PP-1463,Nurse,53,750000,1537,Whole Life,2021-05-13,High,Yes
PP-1464,Construction Worker,31,100000,84,Whole Life,2021-05-17,Medium,No
PP-1465,Student,80,100000,125,Term Life,2018-10-27,Medium,No
PP-1466,Scientist,57,750000,793,Whole Life,2018-07-29,Medium,Yes
PP-1467,Writer,49,1000000,495,Universal Life,2021-12-12,Low,Yes
PP-1468,Electrician,30,15000000,6250,Term Life,2019-01-11,Low,Yes
PP-1469,Accountant,50,50000,100,Term Life,2022-07-28,High,No
PP-1470,Factory Worker,31,750000,1262,Universal Life,2021-07-17,High,Yes
PP-1471,Actor,73,50000,29,Term Life,2024-03-19,Low,No
PP-1472,Commercial Pilot,33,50000,85,Term Life,2022-01-22,High,No
PP-1473,High-Risk Driver,37,50000,89,Term Life,2019-10-23,High,No
PP-1474,Professional Athlete,70,500000,583,Universal Life,2018-11-19,Medium,Yes
PP-1475,High-Risk Driver,70,50000,116,Universal Life,2018-06-28,High,No
PP-1476,High-Risk Driver,39,250000,227,Term Life,2018-06-15,Medium,No
PP-1477,Graphic Designer,29,250000,103,Term Life,2018-09-27,Low,No
PP-1478,Civil Engineer,35,5000000,2187,Whole Life,2024-10-16,Low,Yes
PP-1479,Physicist,57,1000000,2116,Whole Life,2020-02-02,High,Yes
PP-1480,Software Engineer,35,15000000,13125,Whole Life,2022-04-07,Medium,Yes
PP-1481,Biologist,58,10000000,21333,Whole Life,2024-09-03,High,Yes
PP-1482,Photographer,66,25000,14,Whole Life,2024-03-11,Low,No
PP-1483,Attorney,41,5000000,2312,Whole Life,2019-05-21,Low,Yes
PP-1484,Chemical Plant Operator,58,2000000,4266,Universal Life,2018-11-25,High,Yes
PP-1485,Civil Engineer,23,2000000,1550,Term Life,2021-08-05,Medium,Yes
PP-1486,Pharmacist,22,5000000,3833,Universal Life,2019-01-12,Medium,Yes
PP-1487,Pilot,29,250000,206,Universal Life,2020-03-31,Medium,No
PP-1488,Attorney,21,1000000,758,Term Life,2022-06-11,Medium,Yes
PP-1489,Professional Athlete,48,10000000,4916,Whole Life,2022-08-17,Low,Yes
PP-1490,Chemical Plant Operator,22,100000,153,Whole Life,2020-08-02,High,No
PP-1491,Air Traffic Controller,75,2000000,1208,Term Life,2018-02-27,Low,Yes
PP-1492,Nurse,80,2000000,1250,Universal Life,2022-11-15,Low,Yes
PP-1493,Skilled Laborer,47,100000,97,Whole Life,2018-11-28,Medium,No
PP-1494,Firefighter,25,25000,19,Universal Life,2021-06-01,Medium,No
PP-1495,Scientist,26,100000,40,Universal Life,2023-12-01,Low,No
PP-1496,Accountant,64,25000,55,Universal Life,2019-10-03,High,No
PP-1497,Biologist,24,500000,783,Term Life,2024-06-03,High,Yes
PP-1498,Plumber,24,10000000,7833,Term Life,2023-01-21,Medium,Yes
PP-1499,Bus Driver,74,2000000,1200,Term Life,2019-05-15,Low,Yes
PP-1500,Attorney,78,5000000,6166,Universal Life,2019-08-28,Medium,Yes
PP-1501,Civil Engineer,35,250000,437,Whole Life,2020-11-19,High,No
PP-1502,Chemical Plant Operator,77,50000,122,Term Life,2023-09-11,High,No
PP-1503,Dentist,55,500000,1041,Term Life,2024-11-25,High,Yes
PP-1504,Military Officer,49,50000,99,Term Life,2019-01-24,High,No
PP-1505,Dentist,60,10000000,21666,Whole Life,2019-05-28,High,Yes
PP-1506,Healthcare Worker,31,50000,42,Universal Life,2021-07-22,Medium,No
PP-1507,Commercial Pilot,48,10000000,4916,Universal Life,2022-02-22,Low,Yes
PP-1508,Software Engineer,35,500000,218,Universal Life,2021-10-21,Low,Yes
PP-1509,Factory Worker,32,100000,85,Term Life,2022-06-04,Medium,No
PP-1510,Service Worker,32,2000000,1700,Term Life,2023-12-31,Medium,Yes
PP-1511,High-Risk Driver,37,250000,222,Whole Life,2019-01-04,Medium,No
PP-1512,Truck Driver,44,25000,11,Term Life,2023-09-03,Low,No
PP-1513,Taxi Driver,73,250000,297,Term Life,2019-07-02,Medium,No
PP-1514,Pharmacist,53,15000000,7687,Universal Life,2021-12-27,Low,Yes
PP-1515,Military Officer,79,100000,62,Term Life,2023-12-23,Low,No
PP-1516,Skilled Laborer,76,25000,30,Term Life,2022-01-03,Medium,No
PP-1517,Taxi Driver,75,750000,1812,Term Life,2024-01-26,High,Yes
PP-1518,Teacher,18,750000,550,Term Life,2018-03-14,Medium,Yes
PP-1519,Healthcare Worker,71,2000000,4700,Universal Life,2022-05-01,High,Yes
PP-1520,Scientist,19,2000000,741,Universal Life,2018-07-27,Low,Yes
PP-1521,Retired,72,750000,443,Whole Life,2018-09-21,Low,Yes
PP-1522,Chef,78,100000,123,Universal Life,2024-09-16,Medium,No
PP-1523,Military Officer,19,750000,1112,Term Life,2018-04-02,High,Yes
PP-1524,Biologist,52,100000,101,Term Life,2022-08-14,Medium,No
PP-1525,Photographer,68,500000,287,Term Life,2022-09-23,Low,Yes
PP-1526,Taxi Driver,70,750000,875,Universal Life,2018-07-02,Medium,Yes
PP-1527,Physicist,32,100000,85,Whole Life,2020-05-20,Medium,No
PP-1528,Truck Driver,26,2000000,3200,Whole Life,2020-06-18,High,Yes
PP-1529,Biologist,32,25000,21,Term Life,2018-07-01,Medium,No
PP-1530,Military Officer,40,250000,114,Universal Life,2022-09-10,Low,No
PP-1531,Taxi Driver,44,25000,47,Universal Life,2023-05-09,High,No
PP-1532,Service Worker,28,15000000,24500,Term Life,2019-07-18,High,Yes
PP-1533,Physicist,47,1000000,1950,Universal Life,2022-05-18,High,Yes
PP-1534,Police Officer,59,2000000,2150,Whole Life,2024-11-08,Medium,Yes
PP-1535,Student,60,5000000,5416,Term Life,2021-08-22,Medium,Yes
PP-1536,Teacher,75,50000,120,Whole Life,2024-01-29,High,No
PP-1537,Healthcare Worker,32,15000000,25500,Whole Life,2023-06-30,High,Yes
PP-1538,Service Worker,29,1000000,825,Term Life,2024-09-12,Medium,Yes
PP-1539,Dentist,76,2000000,4866,Whole Life,2022-01-15,High,Yes
PP-1540,Miner,27,15000000,12125,Term Life,2020-12-21,Medium,Yes
PP-1541,Air Traffic Controller,30,15000000,6250,Whole Life,2022-01-10,Low,Yes
PP-1542,Civil Engineer,37,15000000,6687,Whole Life,2024-12-02,Low,Yes
PP-1543,Truck Driver,80,10000000,6250,Term Life,2021-06-04,Low,Yes
PP-1544,Healthcare Worker,31,250000,105,Term Life,2022-07-14,Low,No
PP-1545,Mechanical Engineer,65,750000,843,Whole Life,2020-03-04,Medium,Yes
PP-1546,Chemical Plant Operator,22,100000,38,Term Life,2020-01-26,Low,No
PP-1547,Graphic Designer,22,25000,38,Whole Life,2022-06-18,High,No
PP-1548,Manager,30,500000,833,Whole Life,2023-04-21,High,Yes
PP-1549,Service Worker,75,100000,60,Whole Life,2020-02-21,Low,No
PP-1550,Chef,48,750000,1475,Universal Life,2021-02-22,High,Yes
PP-1551,Scientist,76,10000000,24333,Term Life,2021-06-08,High,Yes
PP-1552,Healthcare Worker,44,5000000,9500,Universal Life,2022-02-01,High,Yes
PP-1553,Physicist,47,2000000,3900,Whole Life,2024-04-22,High,Yes
PP-1554,Retired,66,50000,56,Term Life,2020-10-12,Medium,No
PP-1555,Attorney,38,1000000,1800,Whole Life,2023-09-03,High,Yes
PP-1556,Pilot,28,1000000,816,Whole Life,2018-10-25,Medium,Yes
PP-1557,Actor,24,250000,97,Whole Life,2022-08-04,Low,No
PP-1558,Bus Driver,59,5000000,2687,Term Life,2021-02-16,Low,Yes
PP-1559,Healthcare Worker,51,750000,756,Universal Life,2023-11-15,Medium,Yes
PP-1560,Chemical Plant Operator,51,2000000,2016,Whole Life,2022-05-07,Medium,Yes
PP-1561,Manager,46,2000000,1933,Term Life,2024-02-03,Medium,Yes
PP-1562,Air Traffic Controller,33,500000,858,Universal Life,2023-11-03,High,Yes
PP-1563,Pilot,56,750000,393,Universal Life,2019-01-29,Low,Yes
PP-1564,Graphic Designer,50,25000,12,Term Life,2018-12-26,Low,No
PP-1565,Musician,45,50000,23,Term Life,2024-10-28,Low,No
PP-1566,Journalist,33,10000000,8583,Universal Life,2020-08-27,Medium,Yes
PP-1567,Artist,60,1000000,1083,Term Life,2024-12-16,Medium,Yes
PP-1568,Artist,73,1000000,2383,Term Life,2019-11-09,High,Yes
PP-1569,Service Worker,27,10000000,4041,Whole Life,2019-12-04,Low,Yes
PP-1570,Pilot,69,25000,14,Term Life,2024-12-23,Low,No
PP-1571,Artist,58,1000000,1066,Universal Life,2022-01-28,Medium,Yes
PP-1572,Graphic Designer,22,750000,1150,Term Life,2021-10-13,High,Yes
PP-1573,Chemical Plant Operator,48,250000,122,Universal Life,2018-04-16,Low,No
PP-1574,Construction Worker,65,2000000,4500,Term Life,2023-10-26,High,Yes
PP-1575,Chef,24,100000,156,Whole Life,2018-12-14,High,No
PP-1576,Architect,69,15000000,8687,Term Life,2018-09-03,Low,Yes
PP-1577,Taxi Driver,56,100000,52,Whole Life,2021-05-16,Low,No
PP-1578,Veterinarian,76,100000,121,Whole Life,2024-08-30,Medium,No
PP-1579,Photographer,64,50000,111,Whole Life,2019-05-07,High,No
PP-1580,Service Worker,73,2000000,2383,Whole Life,2022-05-04,Medium,Yes
PP-1581,Journalist,72,15000000,35500,Universal Life,2022-10-05,High,Yes
PP-1582,Biologist,73,25000,29,Term Life,2022-11-02,Medium,No
PP-1583,Researcher,68,750000,862,Whole Life,2020-11-03,Medium,Yes
PP-1584,Police Officer,32,25000,21,Term Life,2021-02-25,Medium,No
PP-1585,Researcher,33,500000,858,Universal Life,2019-11-10,High,Yes
PP-1586,Graphic Designer,24,10000000,3916,Universal Life,2023-06-11,Low,Yes
PP-1587,Bus Driver,53,15000000,30750,Universal Life,2021-05-12,High,Yes
PP-1588,Actor,56,750000,787,Whole Life,2021-10-01,Medium,Yes
PP-1589,Air Traffic Controller,31,2000000,1683,Whole Life,2020-09-12,Medium,Yes
PP-1590,Actor,47,50000,24,Term Life,2021-10-19,Low,No
PP-1591,Air Traffic Controller,57,250000,264,Term Life,2019-02-19,Medium,No
PP-1592,Chemical Plant Operator,27,50000,20,Whole Life,2021-08-22,Low,No
PP-1593,Police Officer,54,25000,12,Universal Life,2023-07-07,Low,No
PP-1594,Plumber,58,5000000,5333,Universal Life,2019-02-26,Medium,Yes
PP-1595,Nurse,27,15000000,24250,Term Life,2021-06-01,High,Yes
PP-1596,Professional Athlete,44,750000,1425,Whole Life,2023-02-21,High,Yes
PP-1597,Chemical Plant Operator,23,500000,193,Universal Life,2022-10-17,Low,Yes
PP-1598,Police Officer,63,50000,55,Term Life,2024-03-13,Medium,No
PP-1599,Chemical Plant Operator,79,500000,310,Whole Life,2018-03-31,Low,Yes
PP-1600,Manager,54,15000000,7750,Term Life,2021-04-28,Low,Yes
PP-1601,Researcher,50,250000,500,Whole Life,2018-06-01,High,No
PP-1602,Factory Worker,50,250000,500,Term Life,2023-04-21,High,No
PP-1603,Construction Worker,53,15000000,15375,Whole Life,2020-12-23,Medium,Yes
PP-1604,Service Worker,53,250000,256,Term Life,2024-08-29,Medium,No
PP-1605,Software Engineer,54,500000,1033,Universal Life,2022-01-29,High,Yes
PP-1606,Taxi Driver,53,15000000,7687,Universal Life,2020-02-26,Low,Yes
PP-1607,Chemical Plant Operator,42,2000000,3733,Whole Life,2024-11-19,High,Yes
PP-1608,Artist,39,500000,454,Term Life,2018-07-04,Medium,Yes
PP-1609,Student,35,500000,437,Universal Life,2019-03-15,Medium,Yes
PP-1610,Student,20,10000000,3750,Universal Life,2020-07-24,Low,Yes
PP-1611,Dancer,51,5000000,5041,Term Life,2018-12-01,Medium,Yes
PP-1612,Architect,25,25000,9,Whole Life,2018-10-17,Low,No
PP-1613,Architect,24,1000000,1566,Term Life,2020-08-26,High,Yes
PP-1614,Journalist,50,1000000,500,Whole Life,2021-04-17,Low,Yes
PP-1615,Taxi Driver,53,50000,25,Term Life,2019-08-06,Low,No
PP-1616,Student,59,250000,134,Whole Life,2022-01-28,Low,No
PP-1617,Civil Engineer,51,1000000,504,Term Life,2021-01-01,Low,Yes
PP-1618,Student,22,500000,191,Universal Life,2019-08-21,Low,Yes
PP-1619,Dancer,50,10000000,5000,Whole Life,2022-12-22,Low,Yes
PP-1620,Student,45,50000,23,Universal Life,2024-10-07,Low,No
PP-1621,Taxi Driver,69,500000,289,Universal Life,2022-09-21,Low,Yes
PP-1622,Manager,68,500000,287,Universal Life,2022-03-06,Low,Yes
PP-1623,Pharmacist,78,750000,1850,Term Life,2019-04-08,High,Yes
PP-1624,Researcher,29,15000000,6187,Whole Life,2022-01-28,Low,Yes
PP-1625,Service Worker,76,5000000,3041,Whole Life,2023-07-21,Low,Yes
PP-1626,Service Worker,41,1000000,1850,Term Life,2022-09-07,High,Yes
PP-1627,Police Officer,43,2000000,1883,Term Life,2018-04-17,Medium,Yes
PP-1628,Therapist,31,1000000,841,Whole Life,2022-12-27,Medium,Yes
PP-1629,Air Traffic Controller,38,750000,1350,Term Life,2024-02-02,High,Yes
PP-1630,Software Engineer,56,250000,131,Universal Life,2018-04-19,Low,No
PP-1631,Mechanical Engineer,26,2000000,800,Whole Life,2019-06-24,Low,Yes
PP-1632,Accountant,47,15000000,14625,Whole Life,2022-07-09,Medium,Yes
PP-1633,Dentist,74,500000,600,Term Life,2019-12-04,Medium,Yes
PP-1634,Veterinarian,27,10000000,16166,Term Life,2019-05-15,High,Yes
PP-1635,Accountant,19,15000000,22250,Universal Life,2018-07-25,High,Yes
PP-1636,Researcher,78,2000000,2466,Whole Life,2024-05-11,Medium,Yes
PP-1637,Chemist,23,250000,96,Term Life,2018-05-09,Low,No
PP-1638,Firefighter,57,5000000,5291,Term Life,2020-04-09,Medium,Yes
PP-1639,Construction Worker,31,500000,420,Universal Life,2022-11-27,Medium,Yes
PP-1640,Chemical Plant Operator,53,10000000,5125,Term Life,2023-10-13,Low,Yes
PP-1641,Civil Engineer,28,250000,102,Term Life,2024-09-09,Low,No
PP-1642,Mechanical Engineer,47,50000,48,Whole Life,2023-07-08,Medium,No
PP-1643,Service Worker,60,1000000,1083,Term Life,2023-06-19,Medium,Yes
PP-1644,Musician,47,250000,121,Term Life,2024-06-05,Low,No
PP-1645,Factory Worker,68,100000,57,Term Life,2022-09-21,Low,No
PP-1646,Chemical Plant Operator,47,5000000,9750,Term Life,2023-05-18,High,Yes
PP-1647,Taxi Driver,78,500000,616,Universal Life,2018-07-16,Medium,Yes
PP-1648,Chef,49,15000000,14875,Universal Life,2021-01-08,Medium,Yes
PP-1649,Scientist,69,500000,579,Whole Life,2020-06-24,Medium,Yes
PP-1650,Artist,73,100000,238,Term Life,2022-12-23,High,No
PP-1651,Dentist,19,10000000,14833,Universal Life,2021-03-30,High,Yes
PP-1652,High-Risk Driver,55,15000000,31250,Term Life,2022-03-01,High,Yes
PP-1653,Electrician,44,1000000,950,Whole Life,2023-08-17,Medium,Yes
PP-1654,Scientist,66,250000,141,Whole Life,2019-01-26,Low,No
PP-1655,Accountant,74,25000,30,Whole Life,2021-12-26,Medium,No
PP-1656,Graphic Designer,30,1000000,416,Universal Life,2023-10-03,Low,Yes
PP-1657,Physicist,77,10000000,6125,Universal Life,2022-06-22,Low,Yes
PP-1658,High-Risk Driver,45,5000000,4791,Term Life,2022-03-14,Medium,Yes
PP-1659,Chemist,75,750000,453,Universal Life,2023-04-21,Low,Yes
PP-1660,Therapist,23,250000,96,Term Life,2020-10-31,Low,No
PP-1661,Civil Engineer,78,750000,462,Whole Life,2021-09-23,Low,Yes
PP-1662,Police Officer,39,50000,22,Universal Life,2021-03-22,Low,No
PP-1663,Actor,39,15000000,27250,Term Life,2024-01-13,High,Yes
PP-1664,Skilled Laborer,42,5000000,4666,Universal Life,2019-09-24,Medium,Yes
PP-1665,Service Worker,49,750000,371,Whole Life,2020-07-23,Low,Yes
PP-1666,Artist,71,500000,293,Universal Life,2019-03-13,Low,Yes
PP-1667,Miner,53,1000000,512,Universal Life,2023-06-10,Low,Yes
PP-1668,Mechanical Engineer,44,1000000,950,Whole Life,2022-05-13,Medium,Yes
PP-1669,Attorney,75,1000000,1208,Universal Life,2019-10-03,Medium,Yes
PP-1670,Retired,36,2000000,3533,Universal Life,2022-06-03,High,Yes
PP-1671,Professional Athlete,50,15000000,30000,Term Life,2021-10-24,High,Yes
PP-1672,Civil Engineer,41,750000,1387,Term Life,2018-07-07,High,Yes
PP-1673,Retired,68,2000000,4599,Universal Life,2022-07-04,High,Yes
PP-1674,Veterinarian,45,10000000,9583,Whole Life,2022-04-10,Medium,Yes
PP-1675,Pilot,31,15000000,25250,Whole Life,2019-06-23,High,Yes
PP-1676,Healthcare Worker,24,750000,587,Universal Life,2023-06-23,Medium,Yes
PP-1677,Physicist,40,25000,11,Term Life,2019-12-11,Low,No
PP-1678,Actor,68,250000,287,Term Life,2024-10-13,Medium,No
PP-1679,Accountant,19,250000,92,Whole Life,2024-01-14,Low,No
PP-1680,Software Engineer,48,15000000,14750,Universal Life,2023-09-14,Medium,Yes
PP-1681,Truck Driver,68,15000000,8624,Whole Life,2020-03-18,Low,Yes
PP-1682,Student,32,750000,637,Term Life,2021-11-26,Medium,Yes
PP-1683,Physicist,39,15000000,6812,Whole Life,2024-05-22,Low,Yes
PP-1684,Physicist,50,50000,25,Whole Life,2018-03-23,Low,No
PP-1685,Taxi Driver,56,250000,262,Term Life,2018-01-15,Medium,No
PP-1686,Student,18,250000,366,Term Life,2018-12-18,High,No
PP-1687,Police Officer,47,250000,487,Whole Life,2024-01-04,High,No
PP-1688,Construction Worker,24,250000,195,Term Life,2022-01-13,Medium,No
PP-1689,Physicist,64,250000,558,Whole Life,2019-04-20,High,No
PP-1690,Pilot,34,1000000,1733,Universal Life,2021-09-05,High,Yes
PP-1691,Service Worker,52,750000,762,Universal Life,2022-05-11,Medium,Yes
PP-1692,Civil Engineer,26,15000000,6000,Term Life,2024-05-21,Low,Yes
PP-1693,Military Officer,24,10000000,3916,Universal Life,2022-09-22,Low,Yes
PP-1694,Photographer,51,750000,378,Universal Life,2018-07-05,Low,Yes
PP-1695,Researcher,40,100000,183,Whole Life,2019-05-23,High,No
PP-1696,Taxi Driver,21,1000000,379,Term Life,2024-08-28,Low,Yes
PP-1697,Civil Engineer,41,5000000,9250,Whole Life,2022-03-08,High,Yes
PP-1698,Researcher,74,25000,15,Whole Life,2024-06-19,Low,No
PP-1699,Actor,49,2000000,991,Term Life,2024-02-16,Low,Yes
PP-1700,Taxi Driver,62,10000000,22000,Universal Life,2023-02-09,High,Yes
PP-1701,Graphic Designer,58,50000,26,Whole Life,2020-03-15,Low,No
PP-1702,Pharmacist,18,50000,73,Term Life,2024-09-24,High,No
PP-1703,Police Officer,31,100000,168,Universal Life,2019-10-24,High,No
PP-1704,Scientist,51,50000,50,Term Life,2024-08-28,Medium,No
PP-1705,Police Officer,70,50000,29,Universal Life,2023-02-20,Low,No
PP-1706,Plumber,71,50000,58,Universal Life,2023-10-14,Medium,No
PP-1707,Therapist,73,100000,238,Whole Life,2019-11-07,High,No
PP-1708,Dancer,74,1000000,600,Whole Life,2023-11-23,Low,Yes
PP-1709,Factory Worker,62,500000,550,Term Life,2021-02-11,Medium,Yes
PP-1710,Healthcare Worker,32,250000,425,Term Life,2023-11-05,High,No
PP-1711,Writer,25,500000,395,Whole Life,2023-03-15,Medium,Yes
PP-1712,Writer,52,5000000,5083,Term Life,2024-11-08,Medium,Yes
PP-1713,Healthcare Worker,43,250000,117,Universal Life,2022-02-10,Low,No
PP-1714,Taxi Driver,59,750000,403,Universal Life,2024-08-12,Low,Yes
PP-1715,Civil Engineer,29,50000,20,Term Life,2018-10-13,Low,No
